
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
12,1210,636,288,8,D,1210
14,1210,636,288,8,D,1210
16,1210,636,288,8,D,1210
18,1210,636,288,8,D,1210
20,1210,636,288,8,D,1210
22,1225,676,324,9,D,1287
24,1253,688,216,6,C,1309
26,1276,694,252,7,C,1321
28,1294,699,288,8,C,1330
30,1309,703,360,10,C,1338
32,1321,707,396,11,C,1346
34,1331,711,432,12,C,1353
36,1339,714,468,13,C,1359
38,1347,716,504,14,C,1363
40,1353,718,540,15,C,1367
42,1358,720,540,15,C,1370
44,1362,722,576,16,C,1374
46,1366,723,576,16,C,1376
48,1370,724,612,17,C,1378
50,1372,725,612,17,C,1380
52,1374,725,648,18,C,1380
54,1376,726,648,18,C,1382
56,1378,726,648,18,C,1382
58,1379,727,648,18,C,1384
60,1380,727,648,18,C,1384
62,1380,727,648,18,C,1384
64,1381,728,648,18,C,1386
66,1382,728,648,18,C,1386
68,1382,728,648,18,C,1386
70,1383,729,684,19,C,1387
72,1383,729,684,19,C,1387
74,1383,729,684,19,C,1387
76,1385,730,684,19,C,1389
78,1385,730,684,19,C,1389
80,1385,730,684,19,C,1389
82,1387,731,684,19,C,1391
84,1387,731,684,19,C,1391
86,1388,732,684,19,C,1393
88,1389,732,684,19,C,1393
90,1389,732,684,19,C,1393
92,1390,733,684,19,C,1395
94,1391,733,684,19,C,1395
96,1391,733,684,19,C,1395
98,1392,734,792,22,C,1397
100,1393,734,792,22,C,1397
102,1393,734,792,22,C,1397
104,1394,735,792,22,C,1399
106,1395,735,936,26,C,1399
108,1395,735,936,26,C,1399
110,1395,735,936,26,C,1399
112,1395,735,936,26,C,1399
114,1397,736,936,26,C,1401
116,1397,736,936,26,C,1401
118,1398,737,1080,30,C,1403
120,1399,737,1080,30,C,1403
122,1399,737,1080,30,C,1403
124,1399,737,1080,30,C,1403
126,1399,737,1080,30,C,1403
128,1400,738,1080,30,C,1405
130,1401,738,1224,34,C,1405
132,1401,738,1224,34,C,1405
134,1401,738,1224,34,C,1405
136,1401,738,1224,34,C,1405
138,1401,738,1224,34,C,1405
140,1401,738,1224,34,C,1405
142,1402,739,1224,34,C,1406
144,1402,739,1224,34,C,1406
146,1402,739,1224,34,C,1406
148,1402,739,1224,34,C,1406
150,1402,739,1224,34,C,1406
152,1402,739,1224,34,C,1406
154,1402,739,1224,34,C,1406
156,1402,739,1224,34,C,1406
158,1402,739,1224,34,C,1406
160,1403,740,1224,34,C,1408
162,1404,740,1368,38,C,1408
164,1404,740,1368,38,C,1408
166,1404,740,1368,38,C,1408
168,1404,740,1368,38,C,1408
170,1404,740,1368,38,C,1408
172,1404,740,1368,38,C,1408
174,1404,740,1368,38,C,1408
176,1404,740,1368,38,C,1408
178,1404,740,1368,38,C,1408
180,1404,740,1368,38,C,1408
182,1404,740,1368,38,C,1408
184,1404,740,1368,38,C,1408
186,1404,740,1368,38,C,1408
188,1404,740,1368,38,C,1408
190,1404,740,1368,38,C,1408
192,1404,740,1368,38,C,1408
194,1404,740,1368,38,C,1408
196,1404,740,1368,38,C,1408
198,1404,740,1368,38,C,1408
200,1404,740,1368,38,C,1408
202,1405,741,1368,38,C,1410
204,1406,741,1368,38,C,1410
206,1406,741,1368,38,C,1410
208,1406,741,1368,38,C,1410
210,1406,741,1368,38,C,1410
212,1406,741,1368,38,C,1410
214,1406,741,1368,38,C,1410
216,1406,741,1368,38,C,1410
218,1406,741,1368,38,C,1410
220,1406,741,1368,38,C,1410
222,1406,741,1368,38,C,1410
224,1406,741,1368,38,C,1410
226,1406,741,1368,38,C,1410
228,1406,741,1368,38,C,1410
230,1406,741,1368,38,C,1410
232,1406,741,1368,38,C,1410
234,1406,741,1368,38,C,1410
236,1406,741,1368,38,C,1410
238,1406,741,1368,38,C,1410
240,1406,741,1368,38,C,1410
242,1406,741,1368,38,C,1410
244,1406,741,1368,38,C,1410
246,1406,741,1368,38,C,1410
248,1406,741,1368,38,C,1410
250,1407,741,1512,42,C,1410
252,1407,741,1512,42,C,1410
254,1407,741,1512,42,C,1410
256,1407,741,1512,42,C,1410
258,1408,742,1512,42,C,1412
260,1408,742,1512,42,C,1412
262,1408,742,1512,42,C,1412
264,1408,742,1512,42,C,1412
266,1408,742,1512,42,C,1412
268,1408,742,1512,42,C,1412
270,1408,742,1512,42,C,1412
272,1408,742,1512,42,C,1412
274,1408,742,1512,42,C,1412
276,1408,742,1512,42,C,1412
278,1408,742,1512,42,C,1412
280,1408,742,1512,42,C,1412
282,1408,742,1512,42,C,1412
284,1408,742,1512,42,C,1412
286,1408,742,1512,42,C,1412
288,1408,742,1512,42,C,1412
290,1408,742,1512,42,C,1412
292,1408,742,1512,42,C,1412
294,1408,742,1512,42,C,1412
296,1409,742,1512,42,C,1412
298,1410,742,1656,46,C,1412
300,1410,743,1656,46,C,1414
302,1410,743,1656,46,C,1414
304,1410,743,1656,46,C,1414
306,1410,743,1656,46,C,1414
308,1410,743,1656,46,C,1414
310,1410,743,1656,46,C,1414
312,1410,743,1656,46,C,1414
314,1410,743,1656,46,C,1414
316,1410,743,1656,46,C,1414
318,1410,743,1656,46,C,1414
320,1411,743,1656,46,C,1414
322,1411,743,1656,46,C,1414
324,1411,743,1656,46,C,1414
326,1412,744,1656,46,C,1416
328,1412,744,1656,46,C,1416
PC: 'Stop Ch for a moment, then on330,1412,744,1656,46,C,1416
332,1412,744,1656,46,C,1416
334,1397,714,3600,100,D,1359
336,1401,742,1224,34,C,1412
338,1405,743,1440,40,C,1414
340,1407,743,1440,40,C,1414
342,1409,744,1584,44,C,1416
344,1411,744,1728,48,C,1416
346,1412,744,1728,48,C,1416
348,1412,744,1728,48,C,1416
350,1412,744,1728,48,C,1416
352,1400,725,3600,100,D,1380
354,1404,743,1368,38,C,1414
356,1407,743,1512,42,C,1414
358,1409,744,1512,42,C,1416
360,1411,744,1656,46,C,1416
362,1413,745,1800,50,C,1418
364,1414,745,1800,50,C,1418
366,1414,745,1800,50,C,1418
368,1404,718,3600,100,D,1367
370,1387,713,3600,100,D,1357
372,1374,711,3600,100,D,1353
374,1365,709,3312,92,D,1349
376,1358,708,2952,82,D,1347
378,1353,707,2808,78,D,1346
380,1350,707,2628,73,D,1346
382,1348,706,2484,69,D,1344
384,1346,706,2484,69,D,1344
386,1344,705,2340,65,D,1342
388,1342,705,2196,61,D,1342
